id,price,latitude,longitude,neighbourhood
15883,110.0,48.24262,16.42767,Donaustadt
38768,69.0,48.21924,16.37831,Leopoldstadt
40625,145.0,48.18434,16.32701,Rudolfsheim-Fünfhaus
392757,100.0,48.21496,16.37161,Innere Stadt
51287,68.0,48.21778,16.37847,Leopoldstadt
392905,99.0,48.21351,16.37282,Innere Stadt
70637,50.0,48.2176,16.38018,Leopoldstadt
393961,140.0,48.21318,16.37486,Innere Stadt
75471,77.0,48.22207,16.31594,Ottakring
397617,87.0,48.17437,16.39339,Favoriten
404083,75.0,48.2184,16.39906,Leopoldstadt
75500,75.0,48.23493,16.36752,Brigittenau
404657,73.0,48.19447,16.35099,Mariahilf
90247,98.0,48.20599,16.3489,Neubau
421218,65.0,48.1978,16.3572,Mariahilf
98210,45.0,48.19408722598448,16.358569402703715,Margareten
422021,65.0,48.19353,16.36057,Margareten
422063,40.0,48.19536,16.35912,Margareten
109679,85.0,48.18467,16.32795,Rudolfsheim-Fünfhaus
429820,28.0,48.19465,16.36058,Margareten
429821,39.0,48.19369,16.35899,Margareten
111059,71.0,48.22042,16.33377,Hernals
114505,85.0,48.18445,16.32722,Rudolfsheim-Fünfhaus
431055,97.0,48.19158,16.34999,Mariahilf
121026,81.0,48.2158,16.39034,Leopoldstadt
432365,56.0,48.19306,16.38798,Landstraße
435239,68.0,48.1935,16.35862,Margareten
435240,68.0,48.19532,16.35901,Margareten
131628,61.0,48.21543,16.30939,Ottakring
455314,73.0,48.19983,16.33778,Rudolfsheim-Fünfhaus
138264,144.0,48.22353,16.31773,Hernals
461361,50.0,48.21189,16.34926,Josefstadt
153988,52.0,48.21606,16.34875,Alsergrund
462758,49.0,48.17774,16.38232,Favoriten
163792,55.0,48.18022,16.41955,Simmering
465925,110.0,48.19156,16.33941,Mariahilf
169672,36.0,48.19527,16.36374,Wieden
468889,61.0,48.23536,16.38022,Brigittenau
481895,49.0,48.19306,16.38798,Landstraße
482052,123.0,48.19676,16.28851,Penzing
482090,40.0,48.1969,16.31793,Rudolfsheim-Fünfhaus
197787,92.0,48.22356,16.31781,Hernals
488723,75.0,48.22875,16.37405,Brigittenau
197796,110.0,48.22353,16.31773,Hernals
492555,83.0,48.17297,16.37754,Favoriten
502521,110.0,48.18503,16.35128,Margareten
197809,81.0,48.22356,16.31781,Hernals
527931,109.0,48.21872,16.3737,Leopoldstadt
197822,78.0,48.22356,16.31781,Hernals
197827,86.0,48.22356,16.31781,Hernals
197831,139.0,48.22356,16.31781,Hernals
197842,139.0,48.22356,16.31781,Hernals
197852,89.0,48.22509,16.31632,Hernals
197857,85.0,48.22501,16.31557,Hernals
197859,89.0,48.22501,16.31557,Hernals
543409,100.0,48.20121,16.38976,Landstraße
545094,50.0,48.21517,16.31864,Ottakring
197968,123.0,48.21919,16.35505,Alsergrund
560952,53.0,48.20879,16.34266,Josefstadt
203691,41.0,48.19347,16.359,Margareten
563275,69.0,48.19356,16.36768,Wieden
566572,52.0,48.19813,16.31826,Rudolfsheim-Fünfhaus
203707,65.0,48.19496,16.35896,Margareten
569990,79.0,48.26141,16.38739,Floridsdorf
208734,140.0,48.19341,16.35082,Mariahilf
569995,89.0,48.26134,16.38735,Floridsdorf
570242,80.0,48.21828,16.39093,Leopoldstadt
210780,81.0,48.18444,16.32715,Rudolfsheim-Fünfhaus
212649,50.0,48.21971,16.37903,Leopoldstadt
570243,80.0,48.21886,16.38417,Leopoldstadt
570246,67.0,48.22123,16.4003,Leopoldstadt
216214,28.0,48.19372,16.35862,Margareten
573333,145.0,48.2031,16.34571,Neubau
222614,64.0,48.20016,16.36049,Mariahilf
576960,97.0,48.20845,16.37793,Innere Stadt
579301,41.0,48.19197,16.39073,Landstraße
228698,85.0,48.20841,16.2454,Penzing
579302,61.0,48.22974,16.35492,Alsergrund
229535,137.0,48.21419,16.37646,Leopoldstadt
600477,94.0,48.21479,16.33843,Ottakring
601111,109.0,48.20909,16.39405,Landstraße
234613,69.0,48.21269,16.37841,Leopoldstadt
235772,96.0,48.20947,16.38992,Landstraße
601274,49.0,48.2001,16.30889,Penzing
603258,90.0,48.19551,16.37011,Wieden
235787,70.0,48.1995,16.40202,Landstraße
604215,98.0,48.20409,16.35473,Neubau
235805,160.0,48.20541,16.36867,Innere Stadt
610592,70.0,48.20142,16.3515,Neubau
615011,45.0,48.19295,16.36607,Wieden
242141,60.0,48.18746,16.37478,Wieden
627455,85.0,48.21218,16.38909,Landstraße
242287,51.0,48.19148,16.39017,Landstraße
629579,85.0,48.19755,16.36276,Wieden
638309,101.0,48.19558,16.29074,Penzing
244032,105.0,48.19214,16.34293,Mariahilf
643546,50.0,48.22139,16.39656,Leopoldstadt
655525,56.0,48.19176,16.36493,Wieden
668413,81.0,48.19594,16.34646,Mariahilf
244521,65.0,48.19446,16.36087,Margareten
673170,90.0,48.19399,16.37698,Wieden
244919,65.0,48.17691,16.41262,Simmering
687102,148.0,48.19692,16.37234,Wieden
690832,39.0,48.2208,16.3674,Alsergrund
247290,62.0,48.19554,16.35863,Margareten
247879,82.0,48.19285,16.34503,Mariahilf
701962,139.0,48.19931,16.36627,Wieden
251790,55.0,48.21928,16.38104,Leopoldstadt
706621,67.0,48.21022,16.35098,Josefstadt
252052,150.0,48.20549,16.35443,Neubau
708972,92.0,48.21753,16.41384,Leopoldstadt
263788,72.0,48.21992,16.37994,Leopoldstadt
271754,55.0,48.21928,16.38104,Leopoldstadt
271872,112.0,48.18747,16.34898,Margareten
272589,139.0,48.19916,16.36657,Wieden
275667,69.0,48.19204,16.36592,Wieden
275668,66.0,48.19328,16.36755,Wieden
276893,125.0,48.20287,16.34555,Neubau
280960,105.0,48.19253,16.34314,Mariahilf
710891,129.0,48.19413,16.34601,Mariahilf
714920,139.0,48.18982,16.36472,Wieden
718684,64.0,48.20188,16.33795,Neubau
291635,48.0,48.23429,16.36409,Brigittenau
729796,53.0,48.22927,16.3948,Leopoldstadt
730288,69.0,48.21265,16.33539,Ottakring
730325,69.0,48.21333,16.33329,Ottakring
293442,65.0,48.21699,16.3839,Leopoldstadt
293667,43.0,48.18461,16.35976,Margareten
731862,100.0,48.21366,16.37426,Innere Stadt
751185,99.0,48.22728,16.37061,Brigittenau
298176,59.0,48.23456,16.37933,Brigittenau
300074,40.0,48.23563,16.32329,Währing
758811,152.0,48.20751,16.37899,Innere Stadt
759562,40.0,48.20857,16.30538,Ottakring
302499,65.0,48.19779,16.40265,Landstraße
763157,91.0,48.22883,16.37384,Brigittenau
766088,85.0,48.26035,16.36282,Döbling
778065,76.0,48.21409,16.36324,Innere Stadt
305788,46.0,48.19357,16.35849,Margareten
305796,46.0,48.1949,16.35879,Margareten
779815,85.0,48.19278,16.34131,Mariahilf
786350,43.0,48.20723,16.33873,Neubau
789563,89.0,48.22728,16.37061,Brigittenau
308169,66.0,48.18916,16.36725,Wieden
799178,64.0,48.21892,16.38377,Leopoldstadt
311836,147.0,48.18467,16.32795,Rudolfsheim-Fünfhaus
799342,90.0,48.19717,16.35436,Mariahilf
311904,43.0,48.18461,16.35976,Margareten
813826,82.0,48.23796,16.42418,Donaustadt
322786,93.0,48.20572,16.34609,Neubau
815788,131.0,48.21709,16.31941,Ottakring
327876,69.0,48.20902,16.3317,Ottakring
818833,86.0,48.20189,16.35459,Neubau
820648,55.0,48.19992,16.35168,Neubau
328756,75.0,48.18759,16.35127,Margareten
823044,50.0,48.20638,16.37705,Innere Stadt
333486,50.0,48.22232,16.3722,Leopoldstadt
826210,119.0,48.20069,16.40265,Landstraße
833475,85.0,48.2012,16.34504,Neubau
833742,95.0,48.20664,16.39123,Landstraße
349539,42.0,48.2188,16.32799,Hernals
835397,90.0,48.20083,16.3453,Neubau
835545,80.0,48.20099,16.34488,Neubau
349560,112.0,48.20916,16.39557,Landstraße
835568,130.0,48.20128,16.3533,Neubau
840819,95.0,48.19387,16.35902,Margareten
349676,139.0,48.18825,16.3478,Margareten
358058,28.0,48.21912,16.30937,Ottakring
843415,95.0,48.20826,16.37641,Innere Stadt
358337,85.0,48.19283,16.34387,Mariahilf
846009,60.0,48.23549,16.41152,Donaustadt
359822,37.0,48.19942,16.38022,Landstraße
846107,74.0,48.21623,16.38936,Leopoldstadt
370985,60.0,48.198,16.35492,Mariahilf
855234,49.0,48.1917,16.36602,Wieden
375191,30.0,48.19339,16.36037,Margareten
855282,70.0,48.22439,16.34076,Währing
375192,55.0,48.19444,16.35969,Margareten
859134,170.0,48.211,16.36604,Innere Stadt
392603,140.0,48.20904,16.37182,Innere Stadt
865491,77.0,48.19302,16.35635,Margareten
392756,109.0,48.21564,16.37199,Innere Stadt
874226,150.0,48.21876,16.36411,Alsergrund
1205020,42.0,48.18782,16.34566,Margareten
880741,130.0,48.19902,16.34679,Neubau
1205295,31.0,48.18782,16.34566,Margareten
882832,59.0,48.1978,16.38387,Landstraße
1207680,120.0,48.22513,16.38767,Leopoldstadt
1207728,108.0,48.2152,16.3737,Innere Stadt
1215334,95.0,48.19228,16.35334,Mariahilf
892831,49.0,48.19108,16.38747,Landstraße
1226597,71.0,48.1985,16.32818,Rudolfsheim-Fünfhaus
1227205,94.0,48.21122,16.37509,Innere Stadt
1231453,120.0,48.19878,16.36114,Mariahilf
1245569,35.0,48.18841,16.38499,Landstraße
1270554,31.0,48.18799,16.36608,Wieden
