element_type,osmid,geometry
node,62626088,POINT (16.3667068 48.2073067)
node,76469807,POINT (16.3939411 48.2073844)
node,250063134,POINT (16.3701652 48.2057727)
node,276645373,POINT (16.3640091 48.2060921)
node,293176816,POINT (16.3160759 48.1799921)
node,296915242,POINT (16.3063918 48.2419855)
node,297959832,POINT (16.3503305 48.2240113)
node,319734659,POINT (16.3653873 48.2103671)
node,348094045,POINT (16.3729988 48.2088201)
node,442590922,POINT (16.3496835 48.1994451)
node,534752363,POINT (16.4065514 48.2731213)
node,566588692,POINT (16.3641237 48.2124579)
node,1262234512,POINT (16.3716725 48.2079241)
node,2021617318,POINT (16.3574721 48.2374146)
node,2181029774,POINT (16.2336677 48.2058674)
node,2468457762,POINT (16.3035274 48.1853568)
node,2670820062,POINT (16.3684249 48.2116174)
node,2773325024,POINT (16.3026091 48.1817185)
node,2773325026,POINT (16.3017812 48.181843)
node,2773325029,POINT (16.3020086 48.1822668)
node,2773325252,POINT (16.3029543 48.1817305)
node,2773356951,POINT (16.3042598 48.182826)
node,2773357041,POINT (16.3051454 48.1822709)
node,2774624662,POINT (16.3065704 48.1810376)
node,2774624663,POINT (16.3066614 48.1822314)
node,2774624666,POINT (16.3062605 48.1821087)
node,2774624667,POINT (16.3008536 48.1817709)
node,2774624668,POINT (16.3071769 48.1820537)
node,2774624670,POINT (16.3071666 48.181376)
node,2774624671,POINT (16.3078946 48.1818505)
node,2774624672,POINT (16.3081553 48.1815931)
node,2774624673,POINT (16.306134 48.1809417)
node,2774624674,POINT (16.306522 48.180862)
node,2774624675,POINT (16.306236 48.1809026)
node,2774624677,POINT (16.3064973 48.1810304)
node,2774624678,POINT (16.3081443 48.1817597)
node,2774625143,POINT (16.3072549 48.1816584)
node,2774625144,POINT (16.3008259 48.1818146)
node,2774625147,POINT (16.3064846 48.1808581)
node,2774625158,POINT (16.3062434 48.18154)
node,2774650457,POINT (16.300912 48.1822475)
node,2774650459,POINT (16.3008729 48.182095)
node,2774650461,POINT (16.3014404 48.1821356)
node,2774650462,POINT (16.3056561 48.181276)
node,2774650578,POINT (16.3015998 48.1834661)
node,2774650581,POINT (16.3012066 48.1820916)
node,2774650585,POINT (16.3008472 48.1819948)
node,2774650595,POINT (16.3013951 48.1819735)
node,2774665932,POINT (16.3021244 48.1820336)
node,2774665933,POINT (16.3032593 48.1817919)
node,2774665937,POINT (16.3023704 48.1818862)
node,2774665998,POINT (16.3043844 48.1824269)
node,2807945079,POINT (16.2232164 48.2189417)
node,2947557813,POINT (16.3997394 48.2173391)
node,2947557814,POINT (16.3982671 48.2168033)
node,2947557815,POINT (16.3989826 48.2166276)
node,2947557816,POINT (16.3980654 48.2170261)
node,2972755833,POINT (16.4007554 48.2165536)
node,2972859038,POINT (16.3997036 48.2161763)
node,2972859039,POINT (16.3995933 48.2163405)
node,2972859040,POINT (16.3999203 48.2158688)
node,2972898916,POINT (16.4017207 48.2156625)
node,2972936173,POINT (16.4033389 48.2147451)
node,2973030713,POINT (16.3979281 48.2162468)
node,2973079893,POINT (16.3997959 48.2147538)
node,2973079894,POINT (16.3981751 48.2159762)
node,2973079895,POINT (16.3979786 48.215903)
node,2973079896,POINT (16.3990248 48.215206)
node,2973079897,POINT (16.3993242 48.2150066)
node,2973095626,POINT (16.4028977 48.2156791)
node,3215969753,POINT (16.3985679 48.2162476)
node,3220632067,POINT (16.3996028 48.2169777)
node,3350761174,POINT (16.4013957 48.2145127)
node,3451130698,POINT (16.3100026 48.1827587)
node,3787327321,POINT (16.4667605 48.1931322)
node,4193361946,POINT (16.377823 48.211637)
node,4226900395,POINT (16.4007949 48.2155504)
node,4226900491,POINT (16.4017361 48.2163418)
node,4226903089,POINT (16.3998572 48.2154611)
node,4229810592,POINT (16.4014776 48.2158681)
node,4229810593,POINT (16.4020999 48.2161594)
node,4229810595,POINT (16.3988008 48.2163221)
node,4229810596,POINT (16.3990529 48.2163364)
node,4229810597,POINT (16.3993989 48.2162166)
node,4229810598,POINT (16.3994526 48.2160325)
node,4229810599,POINT (16.3996698 48.2158377)
node,4229895330,POINT (16.4009932 48.2153554)
node,4229895331,POINT (16.4007653 48.2150998)
node,4229895334,POINT (16.4015619 48.2147209)
node,4229895335,POINT (16.4011515 48.2146941)
node,4229895336,POINT (16.4010388 48.2145654)
node,4229895337,POINT (16.4004809 48.215132)
node,4229895338,POINT (16.4018274 48.2146155)
