element_type,osmid,geometry
node,84540706,POINT (16.3929027 48.2003245)
node,146328398,POINT (16.3563982 48.2298213)
node,309293364,POINT (16.3651253 48.196612)
node,315846062,POINT (16.3653354 48.2000494)
node,333371991,POINT (16.3051414 48.2229914)
node,338473236,POINT (16.3804725 48.2184281)
node,344669297,POINT (16.3883951 48.2070289)
node,347442567,POINT (16.4217665 48.1696942)
node,352270388,POINT (16.4173137 48.173005)
node,370674267,POINT (16.3425032 48.2180701)
node,370676470,POINT (16.3425625 48.218218)
node,375998848,POINT (16.3424914 48.2196865)
node,409168052,POINT (16.3531696 48.2040722)
node,409168053,POINT (16.3461466 48.1963212)
node,409188535,POINT (16.3601742 48.200329)
node,412345268,POINT (16.3749505 48.1977287)
node,415409740,POINT (16.3460762 48.2069555)
node,442981719,POINT (16.3473668 48.2019147)
node,450170234,POINT (16.3852689 48.2169355)
node,457232746,POINT (16.3652315 48.1971153)
node,566660740,POINT (16.3723092 48.212021)
node,566660785,POINT (16.3732201 48.2123001)
node,588084968,POINT (16.3388866 48.2094217)
node,636106660,POINT (16.3438849 48.2122441)
node,659823599,POINT (16.3477659 48.2043752)
node,701320972,POINT (16.3563909 48.2042569)
node,732931856,POINT (16.4256276 48.2330547)
node,746332341,POINT (16.3305137 48.2257362)
node,766879987,POINT (16.3461221 48.2104329)
node,766879999,POINT (16.3447124 48.210026)
node,766880008,POINT (16.3485611 48.2109596)
node,766880019,POINT (16.3469687 48.2122667)
node,767358619,POINT (16.3526468 48.205143)
node,768480198,POINT (16.3350417 48.2131426)
node,848000061,POINT (16.3675205 48.1761806)
node,870980192,POINT (16.3704042 48.2079865)
node,897648009,POINT (16.354588 48.1746429)
node,901058218,POINT (16.3744638 48.2041025)
node,915644331,POINT (16.3562907 48.198044)
node,956159131,POINT (16.3717832 48.2043363)
node,956430135,POINT (16.3771324 48.2082188)
node,956430137,POINT (16.3768297 48.2062341)
node,1016849141,POINT (16.3736846 48.2116576)
node,1066143899,POINT (16.3729296 48.2013063)
node,1066619360,POINT (16.2917842 48.1412929)
node,1091505630,POINT (16.4066187 48.2182276)
node,1166298739,POINT (16.3540775 48.2536376)
node,1166599407,POINT (16.3328477 48.1994486)
node,1192826640,POINT (16.336981 48.2008367)
node,1198439554,POINT (16.3943543 48.2091034)
node,1203034330,POINT (16.3747466 48.2104057)
node,1298221010,POINT (16.3526882 48.207189)
node,1308579742,POINT (16.378886 48.2080721)
node,1308610739,POINT (16.3711679 48.213914)
node,1308667841,POINT (16.3618818 48.2131038)
node,1358151190,POINT (16.3556475 48.1896405)
node,1370226152,POINT (16.3533583 48.2101362)
node,1377764088,POINT (16.3521986 48.2135059)
node,1412503434,POINT (16.3749086 48.2151175)
node,1437876729,POINT (16.3504177 48.2054324)
node,1438264958,POINT (16.33414 48.24258)
node,1439072553,POINT (16.3615963 48.1945532)
node,1439072574,POINT (16.356589 48.195932)
node,1439091557,POINT (16.3567955 48.1942692)
node,1439091561,POINT (16.3590512 48.1936255)
node,1442012594,POINT (16.4211799 48.1859117)
node,1460971270,POINT (16.3471885 48.1992431)
node,1467022523,POINT (16.3574536 48.2236856)
node,1467153076,POINT (16.3703373 48.2276155)
node,1467161864,POINT (16.3306549 48.1920486)
node,1467267659,POINT (16.3690236 48.2279919)
node,1467300183,POINT (16.3760419 48.2300225)
node,1467862682,POINT (16.3665356 48.2276366)
node,1468212155,POINT (16.3456396 48.2103581)
node,1508521484,POINT (16.37635 48.2149664)
node,1540721019,POINT (16.3422785 48.2105325)
node,1541917300,POINT (16.3539821 48.2022382)
node,1575886812,POINT (16.356047 48.2028978)
node,1580828927,POINT (16.3518487 48.2134974)
node,1588468283,POINT (16.3774348 48.2063405)
node,1591079266,POINT (16.3625966 48.2017328)
node,1591079349,POINT (16.3624584 48.2015786)
node,1591079464,POINT (16.3555966 48.1979365)
node,1591079494,POINT (16.358101 48.1979026)
node,1591079501,POINT (16.355969 48.1982031)
node,1665276227,POINT (16.2669517 48.1880272)
node,1676768068,POINT (16.3878548 48.1989204)
node,1691939108,POINT (16.4193773 48.1851763)
node,1722364856,POINT (16.4137038 48.2131507)
node,1723752707,POINT (16.361687 48.231593)
node,1729254629,POINT (16.3644261 48.1978378)
node,1729255371,POINT (16.3641846 48.1980274)
node,1752561673,POINT (16.3254723 48.2196182)
node,1756173656,POINT (16.3547732 48.1973456)
node,1756941534,POINT (16.3721828 48.2118009)
node,1759921000,POINT (16.3555548 48.1979277)
node,1764201661,POINT (16.3615944 48.2013509)
node,1836989583,POINT (16.3317022 48.1813814)
node,1888704366,POINT (16.4012936 48.2186109)
node,1921846107,POINT (16.36014 48.201304)
node,1924276045,POINT (16.3769784 48.2092086)
node,1927753846,POINT (16.3389569 48.2098819)
node,1927759612,POINT (16.3381486 48.2089053)
node,1949363099,POINT (16.3691375 48.2072597)
node,1949411509,POINT (16.3709128 48.2150228)
node,1949411512,POINT (16.3708365 48.2132963)
node,1949419327,POINT (16.3753437 48.2093369)
node,1970364590,POINT (16.36629 48.2161618)
node,1970367987,POINT (16.3655123 48.2149562)
node,1992827875,POINT (16.3390688 48.2107552)
node,2048179815,POINT (16.3645077 48.2207396)
node,2048199383,POINT (16.3435697 48.2285539)
node,2113476871,POINT (16.3717776 48.2083413)
node,2129501690,POINT (16.3085416 48.2151462)
node,2145110892,POINT (16.3255219 48.2010306)
node,2152354102,POINT (16.3602357 48.2178372)
node,2156238168,POINT (16.3497509 48.2168244)
node,2184683518,POINT (16.3284741 48.1910096)
node,2336571028,POINT (16.3361653 48.2003729)
node,2347275566,POINT (16.3515804 48.2304766)
node,2352669698,POINT (16.3901695 48.2136921)
node,2353475441,POINT (16.3300829 48.1751922)
node,2359394178,POINT (16.3981282 48.1958724)
node,2415389880,POINT (16.3663263 48.2602057)
node,2437230770,POINT (16.382912 48.2198457)
node,2458558769,POINT (16.2996592 48.1852274)
node,2476501165,POINT (16.3717769 48.2006052)
node,2506067377,POINT (16.3778858 48.2360484)
node,2538461878,POINT (16.3661961 48.2028144)
node,2568290640,POINT (16.3553169 48.1965154)
node,2592091647,POINT (16.3545314 48.1972602)
node,2617117223,POINT (16.3832447 48.2142447)
node,2650654801,POINT (16.371322 48.2040473)
node,2669050201,POINT (16.3543037 48.2000959)
node,2693105392,POINT (16.3003072 48.1870432)
node,2710845517,POINT (16.4125779 48.2319591)
node,2744327532,POINT (16.3410297 48.1963477)
node,2825068737,POINT (16.3682597 48.202841)
