element_type,osmid,geometry
node,269542819,POINT (16.3289585 48.2305022)
node,886418373,POINT (16.3039809 48.1829448)
node,1737968232,POINT (16.4191935 48.1963206)
node,1910748564,POINT (16.3003874 48.1697262)
node,2955751386,POINT (16.2940146 48.2012785)
node,3321823753,POINT (16.286372 48.1458785)
node,3952859762,POINT (16.4015481 48.2140455)
node,5902480485,POINT (16.4024519 48.3084951)
node,10163505214,POINT (16.360319 48.1973084)
way,81389869,"POLYGON ((16.3679757 48.177586, 16.3679689 48.1775341, 16.3681943 48.1775203, 16.3681974 48.1775533, 16.368064 48.177561, 16.3680665 48.1775807, 16.3679757 48.177586))"
way,120752504,"POLYGON ((16.3561336 48.1910384, 16.3558404 48.1909513, 16.3558221 48.1909459, 16.3557377 48.1910389, 16.3557686 48.1910775, 16.3559426 48.1912948, 16.355953 48.1912948, 16.3560888 48.1911021, 16.3561336 48.1910384))"
way,195996602,"POLYGON ((16.3813854 48.1670988, 16.3815205 48.1671203, 16.3817109 48.167055, 16.3817337 48.1670005, 16.3817498 48.166954, 16.3816707 48.1669405, 16.3816546 48.1669781, 16.3815968 48.1669699, 16.3815722 48.1670293, 16.3814255 48.1670023, 16.3813854 48.1670988))"
way,225794092,"POLYGON ((16.3851951 48.2169191, 16.3853379 48.2168669, 16.3853211 48.2168464, 16.3851783 48.2168986, 16.3851951 48.2169191))"
way,286965708,"POLYGON ((16.4539348 48.2017056, 16.4538862 48.2016732, 16.4540359 48.2015734, 16.4540846 48.2016059, 16.4539348 48.2017056))"
way,286965709,"POLYGON ((16.4543173 48.2015177, 16.4545045 48.201388, 16.4545131 48.2013935, 16.4546196 48.2014618, 16.4544324 48.2015915, 16.4543173 48.2015177))"
way,286965710,"POLYGON ((16.4539564 48.2015308, 16.4539788 48.2015454, 16.4541352 48.2015305, 16.4545186 48.2012697, 16.4544337 48.2012142, 16.4544177 48.2012171, 16.4539564 48.2015308))"
way,329599856,"POLYGON ((16.3293147 48.1844731, 16.3295313 48.1845266, 16.3295609 48.184511, 16.3294375 48.1844044, 16.3293221 48.1844505, 16.3293147 48.1844731))"
way,486602236,"POLYGON ((16.4968051 48.1688988, 16.4971496 48.1688134, 16.49712 48.1687137, 16.496939 48.1687391, 16.4967858 48.1687531, 16.4966605 48.1687906, 16.4966865 48.1688366, 16.4967596 48.1688182, 16.4968051 48.1688988))"
way,491711567,"POLYGON ((16.4036773 48.2504375, 16.4036631 48.2504123, 16.4036255 48.2503414, 16.4036015 48.2502986, 16.4036249 48.2502906, 16.4036026 48.2502603, 16.4037845 48.2502061, 16.4037781 48.2501931, 16.4037821 48.2501833, 16.4038552 48.250159, 16.4039048 48.2501306, 16.4039256 48.2501399, 16.4039721 48.2502076, 16.4040575 48.2501885, 16.4040803 48.2502172, 16.4040926 48.2502371, 16.4041011 48.2502533, 16.404119 48.2502818, 16.4041137 48.2502984, 16.4041329 48.250343, 16.404049 48.2503604, 16.4036773 48.2504375))"
way,491711825,"POLYGON ((16.4030418 48.2480736, 16.4031464 48.2480526, 16.4031947 48.2481412, 16.4031467 48.2481517, 16.4031415 48.2481283, 16.403138 48.2481124, 16.4030418 48.2480736))"
way,494185928,"POLYGON ((16.3976537 48.24953, 16.3980236 48.2494664, 16.3980731 48.2494575, 16.3981091 48.2495443, 16.3975248 48.2496505, 16.3975155 48.2496121, 16.3976671 48.2495824, 16.3976537 48.24953))"
way,496642987,"POLYGON ((16.409492 48.2561111, 16.4095589 48.256077, 16.4094589 48.2559901, 16.409392 48.2560242, 16.409492 48.2561111))"
way,725981446,"POLYGON ((16.3783045 48.2083591, 16.3783997 48.2085043, 16.3784286 48.2084945, 16.3784185 48.2084435, 16.3784165 48.208406, 16.3784145 48.2083439, 16.3783494 48.2083506, 16.3783045 48.2083591))"
way,737113245,"POLYGON ((16.4748918 48.2230271, 16.4748519 48.2230408, 16.4746061 48.2231274, 16.4745638 48.2230831, 16.4748488 48.2229752, 16.4748918 48.2230271))"
way,823909548,"POLYGON ((16.3733344 48.2700675, 16.3734391 48.2701045, 16.3734795 48.2700541, 16.3734998 48.2700614, 16.373415 48.2701669, 16.3734327 48.2701732, 16.3734134 48.2701973, 16.3734895 48.2702244, 16.373478 48.2702387, 16.3733833 48.2702028, 16.3732756 48.2703347, 16.3731523 48.27029, 16.3733344 48.2700675))"
relation,7289798,"POLYGON ((16.4247086 48.2294426, 16.4246094 48.229491, 16.4246611 48.2295922, 16.4247129 48.2295535, 16.424736 48.229536, 16.4247086 48.2294426))"
