element_type,osmid,geometry
node,46823914,POINT (16.3208687 48.1974616)
node,76515393,POINT (16.3707177 48.2100533)
node,115513011,POINT (16.3956178 48.1968722)
node,128183897,POINT (16.3521712 48.2193243)
node,146317846,POINT (16.3599021 48.2271917)
node,223580185,POINT (16.4026993 48.2003108)
node,244497023,POINT (16.3587639 48.202615)
node,244522889,POINT (16.3548608 48.2093012)
node,249711653,POINT (16.3702567 48.1947168)
node,249733140,POINT (16.3709174 48.2362005)
node,251981903,POINT (16.3375895 48.2081205)
node,256669740,POINT (16.3430955 48.2068028)
node,256669781,POINT (16.3489247 48.2020967)
node,258051472,POINT (16.303154 48.2154323)
node,264606980,POINT (16.3989407 48.1983004)
node,265002408,POINT (16.2709478 48.1908244)
node,265002900,POINT (16.2670772 48.1881333)
node,267263069,POINT (16.3091285 48.1671673)
node,269209054,POINT (16.3720208 48.2080149)
node,269904458,POINT (16.3149044 48.1652336)
node,279452021,POINT (16.3716892 48.1901375)
node,288187563,POINT (16.3449489 48.2262324)
node,289642463,POINT (16.3239493 48.1974209)
node,289642464,POINT (16.3198076 48.1980768)
node,289942099,POINT (16.2672253 48.1512991)
node,293142047,POINT (16.4013661 48.1983562)
node,294507916,POINT (16.3550472 48.2402074)
node,295386885,POINT (16.3662639 48.2328167)
node,295413442,POINT (16.3467208 48.2235831)
node,297478688,POINT (16.3693761 48.1954827)
node,298553659,POINT (16.3288835 48.2308783)
node,308877404,POINT (16.369634 48.1690211)
node,311283080,POINT (16.3507623 48.2243753)
node,315986941,POINT (16.3491324 48.2080283)
node,317767352,POINT (16.3612193 48.2155314)
node,317815743,POINT (16.3611697 48.1998385)
node,318023658,POINT (16.3580946 48.2145962)
node,318297340,POINT (16.3554887 48.2096822)
node,319734659,POINT (16.3653873 48.2103671)
node,319735103,POINT (16.369835 48.207942)
node,323058537,POINT (16.4428967 48.2496444)
node,323243151,POINT (16.3029029 48.1370939)
node,323661731,POINT (16.3537844 48.2246086)
node,325140051,POINT (16.3400519 48.1962072)
node,325856095,POINT (16.3195469 48.2133787)
node,329464821,POINT (16.3737448 48.2126268)
node,333052979,POINT (16.3691001 48.2288403)
node,333539957,POINT (16.3541445 48.2304002)
node,333696995,POINT (16.3843482 48.2364894)
node,334497913,POINT (16.3658155 48.2549346)
node,334636027,POINT (16.3732171 48.2132357)
node,334793287,POINT (16.2989586 48.1871017)
node,334800902,POINT (16.3026844 48.1870946)
node,337468339,POINT (16.3620824 48.2480884)
node,338470684,POINT (16.3770997 48.2179296)
node,338470689,POINT (16.3806455 48.217096)
node,338525606,POINT (16.4063771 48.1946601)
node,339910920,POINT (16.3614497 48.2115624)
node,341255640,POINT (16.3448876 48.2201284)
node,342306706,POINT (16.3859752 48.2061401)
node,342306957,POINT (16.3858227 48.2058773)
node,344481901,POINT (16.3618977 48.2251144)
node,344666078,POINT (16.3832461 48.2067334)
node,344872252,POINT (16.3985512 48.255583)
node,344923915,POINT (16.3860033 48.2058089)
node,344927480,POINT (16.3871215 48.2051099)
node,344929843,POINT (16.4046169 48.2741532)
node,344931801,POINT (16.4075968 48.2769351)
node,345298530,POINT (16.3762952 48.2116935)
node,345623344,POINT (16.3511758 48.202342)
node,347627120,POINT (16.4122545 48.2766649)
node,349242464,POINT (16.3576889 48.2094529)
node,351628384,POINT (16.3611169 48.2002468)
node,352985492,POINT (16.3987779 48.2569247)
node,353022689,POINT (16.4329207 48.2420689)
node,353071638,POINT (16.4000161 48.2570163)
node,353700317,POINT (16.4081259 48.2761283)
node,353893638,POINT (16.3386611 48.1710362)
node,355211469,POINT (16.3264608 48.2154083)
node,356313158,POINT (16.3996669 48.2606036)
node,356892391,POINT (16.4117035 48.2185951)
node,360192261,POINT (16.4105729 48.2782663)
node,361527735,POINT (16.3383396 48.2172664)
node,362372212,POINT (16.4223757 48.1680528)
node,363186048,POINT (16.4176966 48.1732174)
node,365865938,POINT (16.3746746 48.2043161)
node,365947932,POINT (16.3999874 48.2580998)
node,365947989,POINT (16.4000794 48.2582168)
node,366220354,POINT (16.4000289 48.2211808)
node,367817578,POINT (16.390204 48.2174374)
