element_type,osmid,geometry
node,29801740,POINT (16.3949572 48.2334596)
node,46823918,POINT (16.3212599 48.1975303)
node,46823935,POINT (16.3237054 48.198588)
node,115212652,POINT (16.3972629 48.1941577)
node,224593914,POINT (16.3998239 48.2567922)
node,244492645,POINT (16.4003777 48.1996218)
node,249510945,POINT (16.3348424 48.2090119)
node,249568684,POINT (16.3333162 48.2094857)
node,249879953,POINT (16.3701158 48.2357617)
node,249884080,POINT (16.3290178 48.2314688)
node,249894264,POINT (16.3288166 48.2310657)
node,250417688,POINT (16.3595186 48.2171926)
node,250601785,POINT (16.3492531 48.2252623)
node,250601786,POINT (16.3491703 48.2248628)
node,250601788,POINT (16.3620265 48.2133477)
node,251208541,POINT (16.3443194 48.2264315)
node,251361717,POINT (16.3706934 48.2040981)
node,252466466,POINT (16.3427745 48.226475)
node,256418856,POINT (16.3492731 48.2253453)
node,256423371,POINT (16.3287882 48.2315387)
node,269208773,POINT (16.372115 48.207716)
node,269209053,POINT (16.3723403 48.2076731)
node,295413440,POINT (16.3449832 48.226192)
node,295413460,POINT (16.3418217 48.2223506)
node,295563604,POINT (16.3541076 48.2149166)
node,299893744,POINT (16.4013123 48.1983019)
node,318859106,POINT (16.3598474 48.2066908)
node,331467855,POINT (16.3422635 48.2463559)
node,333119187,POINT (16.3787334 48.236736)
node,333124186,POINT (16.377203 48.23861)
node,333532257,POINT (16.3749156 48.1884547)
node,335448900,POINT (16.3681914 48.2023478)
node,339908188,POINT (16.3665044 48.1994552)
node,340833248,POINT (16.4000705 48.1988173)
node,346283731,POINT (16.3415137 48.2162238)
node,347439899,POINT (16.417015 48.1738982)
node,353700894,POINT (16.4082903 48.2765259)
node,356301383,POINT (16.3986067 48.2588643)
node,356311263,POINT (16.399425 48.2602121)
node,357255386,POINT (16.409156 48.2769161)
node,360187852,POINT (16.3309834 48.1748041)
node,364439550,POINT (16.4157307 48.2786014)
node,365948680,POINT (16.4005423 48.2595307)
node,368318941,POINT (16.4082957 48.2764714)
node,370604497,POINT (16.4424214 48.249968)
node,370676630,POINT (16.3423476 48.2212381)
node,373392351,POINT (16.4314368 48.164971)
