element_type,osmid,geometry
node,269209069,POINT (16.3727198 48.2071604)
node,297783442,POINT (16.366 48.1986473)
node,326889002,POINT (16.3562722 48.2297736)
node,337947392,POINT (16.3810931 48.218708)
node,338666310,POINT (16.3876495 48.2205194)
node,350646644,POINT (16.3577603 48.2023556)
node,353282827,POINT (16.3685735 48.2125187)
node,370358446,POINT (16.3894581 48.2033608)
node,478701714,POINT (16.350055 48.1985911)
node,605216835,POINT (16.3586297 48.2293434)
node,901058104,POINT (16.3745967 48.2043504)
node,902496916,POINT (16.3747336 48.2053639)
node,950535972,POINT (16.3834496 48.2060827)
node,956159222,POINT (16.3716917 48.2044841)
node,1010988006,POINT (16.3406381 48.2146141)
node,1233106567,POINT (16.3855614 48.2402818)
node,1350366989,POINT (16.3610602 48.2344117)
node,1540097806,POINT (16.3520954 48.2311333)
node,1654459048,POINT (16.3638462 48.2036832)
node,1676767990,POINT (16.3880155 48.1987692)
node,1760411638,POINT (16.3519179 48.1984755)
node,1775070493,POINT (16.3709281 48.2295413)
node,1785315520,POINT (16.361078 48.2067764)
node,2163639084,POINT (16.4691393 48.2500172)
node,2261275641,POINT (16.3640757 48.2038548)
node,2261282154,POINT (16.3281646 48.1833039)
node,2360936743,POINT (16.3747488 48.2120903)
node,2476576889,POINT (16.3612497 48.2069427)
node,2605273046,POINT (16.3392118 48.211221)
node,3134827873,POINT (16.3669203 48.2026574)
node,3215857487,POINT (16.3749551 48.2117504)
node,3255811316,POINT (16.3520765 48.2062569)
node,3371227224,POINT (16.3708399 48.200105)
node,3636472610,POINT (16.3403399 48.2130442)
node,3754664959,POINT (16.336779 48.1900504)
node,3778358964,POINT (16.3335239 48.1889834)
node,3778426357,POINT (16.3352744 48.1893262)
node,4019425312,POINT (16.3600329 48.2002737)
node,4100575568,POINT (16.3968134 48.2211001)
node,4143596299,POINT (16.3266492 48.1792934)
node,4611423519,POINT (16.3790768 48.2303173)
node,4869297853,POINT (16.3715137 48.2052748)
node,4910074561,POINT (16.3754804 48.2096962)
node,5026447762,POINT (16.3535712 48.1883058)
node,5095778536,POINT (16.3732325 48.2129527)
node,5152455677,POINT (16.3540685 48.2331294)
node,5167578452,POINT (16.3454278 48.2226055)
node,5184001637,POINT (16.3774384 48.1986067)
node,5184042865,POINT (16.3518953 48.2310728)
node,5185694142,POINT (16.3680156 48.2064782)
node,5185694143,POINT (16.3629161 48.197798)
node,5188605997,POINT (16.4045916 48.2134332)
node,5202979006,POINT (16.3713575 48.2037428)
node,5224877088,POINT (16.3743143 48.2109545)
node,5305192502,POINT (16.3405534 48.2144528)
node,5352200607,POINT (16.381004 48.2085283)
node,5666216421,POINT (16.3702969 48.1930487)
node,5842166786,POINT (16.342187 48.2174564)
node,6090899947,POINT (16.3695108 48.2010683)
node,6310206984,POINT (16.3414338 48.2150338)
node,7020629865,POINT (16.3320536 48.1992217)
node,7272328740,POINT (16.3324965 48.2286018)
node,7652497559,POINT (16.4093379 48.2296474)
node,9053853130,POINT (16.3534071 48.2316807)
node,9229402917,POINT (16.3726908 48.2025668)
node,9229404617,POINT (16.3608771 48.2017306)
node,9792243140,POINT (16.3370042 48.215007)
way,84301624,"POLYGON ((16.4080423 48.1754163, 16.4079468 48.175502, 16.4076731 48.1757475, 16.407633 48.1757835, 16.4076928 48.1758132, 16.407824 48.1756955, 16.4078452 48.175706, 16.4079461 48.1756155, 16.4080469 48.1756655, 16.4080699 48.1756449, 16.4081177 48.1756686, 16.4081744 48.1756177, 16.4082147 48.1756377, 16.4083123 48.1755502, 16.4080423 48.1754163))"
way,108842604,"POLYGON ((16.3553084 48.1955239, 16.3553551 48.1954768, 16.3553784 48.1954533, 16.355413 48.1954185, 16.3556301 48.1955077, 16.3555659 48.1955753, 16.3555386 48.1956061, 16.3554881 48.1955849, 16.3554801 48.195593, 16.3554472 48.1955791, 16.3554544 48.1955712, 16.3553863 48.1955431, 16.3553778 48.1955528, 16.3553084 48.1955239))"
way,133677620,"POLYGON ((16.370788 48.2179226, 16.3709603 48.2178048, 16.3710424 48.2177477, 16.3710059 48.2177156, 16.371168 48.2176241, 16.3711344 48.2175978, 16.3706 48.2178979, 16.3706777 48.2179469, 16.3707334 48.2179098, 16.3707082 48.2178938, 16.3707228 48.2178827, 16.370788 48.2179226))"
way,178858832,"POLYGON ((16.3930359 48.2177737, 16.393114 48.2177539, 16.393111 48.2177501, 16.3931536 48.2177398, 16.3931562 48.2177439, 16.3932075 48.2177278, 16.3932116 48.2177595, 16.3932417 48.2177599, 16.3932474 48.2177742, 16.3931604 48.2177977, 16.3931817 48.2178351, 16.393366 48.2177839, 16.3933054 48.2176858, 16.3933353 48.217678, 16.3933149 48.2176318, 16.3933129 48.217625, 16.3932631 48.2176257, 16.3932132 48.2176543, 16.3932233 48.2176746, 16.393129 48.2177017, 16.3930761 48.2177024, 16.3930184 48.2177249, 16.3930243 48.2177444, 16.3930359 48.2177737))"
way,372281827,"POLYGON ((16.413495 48.1875863, 16.4134903 48.1875082, 16.4134533 48.1875092, 16.4134499 48.1874517, 16.4133465 48.1873993, 16.4132935 48.1873724, 16.4128086 48.1871202, 16.4127885 48.1871374, 16.4127577 48.1871213, 16.4126155 48.1870471, 16.4122564 48.1872538, 16.4123243 48.1873062, 16.4119843 48.187502, 16.4120663 48.1875653, 16.4122268 48.1876915, 16.412653 48.1880204, 16.4127883 48.1879425, 16.412823 48.1879668, 16.4128577 48.187991, 16.4134538 48.1876382, 16.4134508 48.1875875, 16.413495 48.1875863))"
