element_type,osmid,geometry
node,244496574,POINT (16.3417966 48.2080161)
node,252549221,POINT (16.3364734 48.2006881)
node,252549232,POINT (16.3203552 48.1964606)
node,256669972,POINT (16.3489494 48.2063736)
node,267244783,POINT (16.3638175 48.2025836)
node,267275362,POINT (16.3748262 48.2162906)
node,269542815,POINT (16.3285222 48.2304602)
node,281657531,POINT (16.3628298 48.1932065)
node,295413458,POINT (16.3444371 48.2242345)
node,295811116,POINT (16.3432618 48.2044132)
node,295929282,POINT (16.3604255 48.1976858)
node,298851848,POINT (16.3219258 48.2120145)
node,306005705,POINT (16.3437056 48.2290642)
node,309293363,POINT (16.3138793 48.2135521)
node,310192247,POINT (16.3417432 48.1938844)
node,310649397,POINT (16.3668127 48.1965758)
node,311820993,POINT (16.3703852 48.1692604)
node,315893443,POINT (16.3398939 48.2081731)
node,315954466,POINT (16.3397579 48.1935938)
node,316012422,POINT (16.3799073 48.2154908)
node,321595780,POINT (16.3736441 48.2031658)
node,323177975,POINT (16.338513 48.2061952)
node,323196166,POINT (16.3723593 48.2129241)
node,323672015,POINT (16.3634463 48.226577)
node,333653457,POINT (16.333961 48.2013383)
node,334355382,POINT (16.3596067 48.2166113)
node,334390933,POINT (16.3677 48.2098841)
node,334641013,POINT (16.3738138 48.2123002)
node,335654627,POINT (16.3744097 48.1823175)
node,337947384,POINT (16.3803407 48.2190673)
node,338470657,POINT (16.3833419 48.2158334)
node,338470676,POINT (16.3774265 48.2171591)
node,338473232,POINT (16.3784001 48.2160352)
node,338473233,POINT (16.3792843 48.2155492)
node,344666762,POINT (16.3865177 48.2060233)
node,345289488,POINT (16.3702618 48.2127239)
node,345758417,POINT (16.4067943 48.2189029)
node,347616912,POINT (16.388842 48.2063759)
node,354558151,POINT (16.4079011 48.276327)
node,356313837,POINT (16.4005149 48.2613089)
node,356746043,POINT (16.3734523 48.2124198)
node,361528151,POINT (16.3380155 48.2170264)
node,361528726,POINT (16.3374533 48.2177686)
node,370931029,POINT (16.3653882 48.1970101)
node,370931244,POINT (16.3632988 48.2117807)
node,374756697,POINT (16.3863864 48.2034128)
node,375844890,POINT (16.364128 48.2209527)
node,380765915,POINT (16.4020655 48.2614552)
node,382371488,POINT (16.3590561 48.2000937)
node,409188525,POINT (16.3522052 48.1942188)
node,409230019,POINT (16.3475406 48.2084283)
node,410711018,POINT (16.327079 48.2108799)
node,410753771,POINT (16.356344 48.213427)
node,417751942,POINT (16.3678514 48.1886658)
node,417865183,POINT (16.3486991 48.2407662)
node,419114021,POINT (16.3114899 48.2251951)
node,420021015,POINT (16.3712951 48.2291086)
node,430388313,POINT (16.2678988 48.1898635)
node,432692936,POINT (16.345828 48.2014832)
node,434487717,POINT (16.397165 48.198789)
node,441075962,POINT (16.3361592 48.201731)
node,441595498,POINT (16.3895739 48.211562)
node,442065626,POINT (16.3344034 48.1938763)
node,442571782,POINT (16.3432741 48.1983476)
node,442972884,POINT (16.3457249 48.2027087)
node,443025467,POINT (16.3551305 48.2040739)
node,444247110,POINT (16.3816056 48.2117842)
node,452658942,POINT (16.3100744 48.2018145)
node,457352904,POINT (16.5297307 48.2131929)
node,463862679,POINT (16.354187 48.2322117)
node,470017960,POINT (16.3871844 48.1967165)
node,470624579,POINT (16.3104315 48.1296976)
node,476340834,POINT (16.3474687 48.1846847)
node,527555531,POINT (16.3276919 48.2165912)
node,563271467,POINT (16.3641963 48.1969042)
node,567066325,POINT (16.3695268 48.2042682)
node,567096858,POINT (16.3738827 48.2119851)
node,567097850,POINT (16.3781622 48.2093633)
node,600710635,POINT (16.3590958 48.1818105)
node,618477202,POINT (16.3306039 48.2059833)
node,660130435,POINT (16.3941953 48.1921131)
node,683569941,POINT (16.3506666 48.2021466)
node,683569946,POINT (16.3565671 48.2026591)
node,701320966,POINT (16.3569286 48.2030695)
node,727641972,POINT (16.2789749 48.1628576)
node,761213100,POINT (16.3539331 48.1985666)
node,767358656,POINT (16.3527009 48.2050353)
node,810356762,POINT (16.3561788 48.1762582)
node,872404421,POINT (16.3438518 48.1972869)
node,902496928,POINT (16.3756645 48.2040067)
node,906476541,POINT (16.3657453 48.1759397)
node,913272967,POINT (16.3534382 48.1980275)
node,914017544,POINT (16.3849318 48.2218019)
node,915174265,POINT (16.3739704 48.1803104)
node,915964024,POINT (16.3771461 48.1813613)
node,916277771,POINT (16.373938 48.1765186)
node,921127554,POINT (16.3663402 48.1798049)
node,927883779,POINT (16.3530404 48.2244865)
node,930757008,POINT (16.3732554 48.1784939)
node,945128195,POINT (16.3659249 48.1770636)
node,950536104,POINT (16.384629 48.2042256)
node,956080380,POINT (16.3831443 48.2020985)
node,974112051,POINT (16.3961285 48.2019828)
node,982838162,POINT (16.3522877 48.2087758)
node,991972892,POINT (16.3872469 48.211271)
node,1068145208,POINT (16.3543549 48.2040181)
node,1145179280,POINT (16.3488676 48.2034538)
node,1193859571,POINT (16.3497987 48.2134073)
node,1209065582,POINT (16.386862 48.2377757)
node,1209399849,POINT (16.2662165 48.1517145)
node,1210661838,POINT (16.3761477 48.2171929)
node,1216175877,POINT (16.3406915 48.2130506)
node,1258555051,POINT (16.4015635 48.3104121)
node,1300145999,POINT (16.4051199 48.2198156)
node,1307579567,POINT (16.3632531 48.1980368)
node,1336944983,POINT (16.4895226 48.2160978)
node,1362753598,POINT (16.4000846 48.1888924)
node,1363142293,POINT (16.2801832 48.1367485)
node,1363150691,POINT (16.3232806 48.2342786)
node,1366488393,POINT (16.3542041 48.2330272)
node,1370932236,POINT (16.3620316 48.1977366)
node,1438259632,POINT (16.3340269 48.24157)
node,1439076633,POINT (16.3616053 48.193973)
node,1467083848,POINT (16.3904424 48.2071616)
node,1467140712,POINT (16.3707138 48.2276059)
node,1467161749,POINT (16.331317 48.1929763)
node,1467235328,POINT (16.3618472 48.2248497)
node,1530271340,POINT (16.3377163 48.1926008)
node,1539804821,POINT (16.4550847 48.2437424)
node,1541917301,POINT (16.3537978 48.2022202)
node,1590144633,POINT (16.3073467 48.202352)
node,1591079389,POINT (16.3578298 48.1988419)
node,1591079504,POINT (16.3557877 48.1981588)
node,1600450972,POINT (16.3968403 48.1906345)
node,1630381889,POINT (16.3608191 48.1947334)
node,1631228602,POINT (16.3829823 48.149982)
node,1640437064,POINT (16.3775515 48.2094749)
node,1660747765,POINT (16.3721417 48.2283873)
node,1660997102,POINT (16.3456392 48.2125335)
node,1677422681,POINT (16.3490151 48.1926272)
node,1677422841,POINT (16.3473118 48.1916117)
node,1691037884,POINT (16.3645077 48.2215391)
node,1701621316,POINT (16.3657478 48.2244284)
node,1707142906,POINT (16.363975 48.2247934)
node,1707143149,POINT (16.3642794 48.2248706)
node,1707194114,POINT (16.3641143 48.2259592)
node,1708782898,POINT (16.3619202 48.217566)
node,1709195189,POINT (16.368908 48.1870211)
node,1717868121,POINT (16.3372619 48.2075389)
node,1740259398,POINT (16.3918233 48.2092333)
node,1744229465,POINT (16.3294303 48.1845364)
node,1776090872,POINT (16.3269602 48.2010991)
node,1779797906,POINT (16.3588319 48.1920539)
node,1784800698,POINT (16.3435509 48.2163388)
node,1787153982,POINT (16.3767939 48.180493)
node,1841533958,POINT (16.3361228 48.2140152)
node,1841540786,POINT (16.3361351 48.2138469)
node,1894565012,POINT (16.3311239 48.1833221)
node,1903094531,POINT (16.3794951 48.1687893)
node,1903909191,POINT (16.3514354 48.2020085)
node,1936025717,POINT (16.3897135 48.2018637)
node,1965010055,POINT (16.3786847 48.1758077)
node,1970228875,POINT (16.356793 48.2548648)
node,1993134070,POINT (16.360884 48.1927013)
node,2048614657,POINT (16.4014506 48.3097592)
node,2054759016,POINT (16.2792505 48.1975989)
node,2068070718,POINT (16.3324685 48.2620309)
node,2086495846,POINT (16.3086154 48.2079912)
node,2096231629,POINT (16.2736794 48.1915563)
node,2107053284,POINT (16.3384909 48.2109421)
node,2166862527,POINT (16.3250701 48.1865065)
node,2168595263,POINT (16.341762 48.2142416)
node,2258175756,POINT (16.3699355 48.2120306)
node,2313068140,POINT (16.3739731 48.2119281)
node,2336844415,POINT (16.3381164 48.2148753)
node,2352626076,POINT (16.4006344 48.1959618)
node,2357531632,POINT (16.3352641 48.2139215)
node,2391161680,POINT (16.4967574 48.2769299)
node,2428114552,POINT (16.3758519 48.177443)
node,2445796108,POINT (16.3526257 48.1997839)
node,2446549028,POINT (16.447771 48.23376)
node,2450560273,POINT (16.4422829 48.2499743)
node,2458558761,POINT (16.2988667 48.1855229)
node,2481283639,POINT (16.3211717 48.1836647)
node,2500519191,POINT (16.3684188 48.2045976)
