element_type,osmid,geometry
node,46823888,POINT (16.3230031 48.1982314)
node,46823910,POINT (16.320545 48.1974813)
node,46823962,POINT (16.3208483 48.199091)
node,55411636,POINT (16.4293627 48.2087288)
node,60648368,POINT (16.3498097 48.205262)
node,76469902,POINT (16.3926105 48.2089007)
node,76514684,POINT (16.3736843 48.2096466)
node,76518712,POINT (16.3667974 48.2050544)
node,76656467,POINT (16.3898294 48.2105958)
node,81609136,POINT (16.3820546 48.3120862)
node,106061288,POINT (16.3161548 48.2146856)
node,119371746,POINT (16.3809023 48.1965909)
node,126502432,POINT (16.3191347 48.2182862)
node,138297090,POINT (16.3220342 48.1862746)
node,139128641,POINT (16.3177221 48.1625574)
node,146317179,POINT (16.3562378 48.2289104)
node,146340019,POINT (16.3534573 48.2269661)
node,154622635,POINT (16.3992874 48.2006792)
node,154622735,POINT (16.3995623 48.19872)
node,217881130,POINT (16.319012 48.2178976)
node,236858381,POINT (16.3989834 48.1979299)
node,244496431,POINT (16.3454848 48.2072411)
node,244496511,POINT (16.348674 48.2066153)
node,244497017,POINT (16.3584863 48.2040085)
node,244497020,POINT (16.3593753 48.2031865)
node,244497161,POINT (16.3543901 48.203105)
node,244497172,POINT (16.3546748 48.2025181)
node,244497186,POINT (16.3472631 48.204387)
node,245495351,POINT (16.3362636 48.2127223)
node,246836952,POINT (16.3550172 48.205271)
node,248529367,POINT (16.3271057 48.2206274)
node,249485841,POINT (16.3415571 48.2174462)
node,249485842,POINT (16.328458 48.230999)
node,249711654,POINT (16.3694095 48.1966507)
node,249711655,POINT (16.3674833 48.198936)
node,249884081,POINT (16.3289347 48.2314924)
node,250077138,POINT (16.3271549 48.2277883)
node,250380570,POINT (16.3960768 48.20374)
node,251523468,POINT (16.337033 48.228427)
node,252467398,POINT (16.3310962 48.2301421)
node,252467399,POINT (16.3313954 48.2300056)
node,252549228,POINT (16.3271189 48.1997356)
node,252549230,POINT (16.3290047 48.1983822)
node,252990832,POINT (16.3058557 48.210756)
node,254904592,POINT (16.3347104 48.1832842)
node,256669819,POINT (16.3546749 48.2028861)
node,257613384,POINT (16.3504877 48.2105082)
node,258051477,POINT (16.30118 48.2162783)
node,259640958,POINT (16.3735819 48.2186915)
node,259641273,POINT (16.3772145 48.2187616)
node,260990967,POINT (16.2832355 48.1974403)
node,266281901,POINT (16.518698 48.2013601)
node,267262865,POINT (16.3089485 48.1668755)
node,267263160,POINT (16.3102795 48.1668609)
node,268500778,POINT (16.398612 48.2062043)
node,269208762,POINT (16.3743892 48.2070366)
node,269208763,POINT (16.3743209 48.2069076)
node,269208764,POINT (16.3741585 48.2071903)
node,270066222,POINT (16.3612146 48.2098341)
node,270066225,POINT (16.3702085 48.2148632)
node,271817593,POINT (16.4135976 48.2943197)
node,277843035,POINT (16.367363 48.1985019)
node,278548603,POINT (16.3536414 48.2162841)
node,280812411,POINT (16.3407119 48.2212614)
node,280813669,POINT (16.3384611 48.2230825)
node,281295823,POINT (16.3507037 48.2347063)
node,283318282,POINT (16.4012023 48.263223)
node,286443265,POINT (16.3541688 48.2372154)
node,286557366,POINT (16.2933553 48.2242167)
node,288015983,POINT (16.3448727 48.2267385)
node,288015984,POINT (16.3446263 48.2265954)
node,288089459,POINT (16.2129136 48.2088856)
node,288643493,POINT (16.2846459 48.1732175)
node,289943660,POINT (16.2650317 48.1517189)
node,290257793,POINT (16.3591778 48.1910441)
node,290481672,POINT (16.2845368 48.1788853)
node,291576552,POINT (16.336467 48.2745981)
node,291765444,POINT (16.3626412 48.1896096)
node,294137696,POINT (16.3504188 48.2106704)
node,294285276,POINT (16.464868 48.1913852)
node,295387954,POINT (16.3661384 48.2288871)
node,295413437,POINT (16.3437619 48.2231652)
node,295563588,POINT (16.3537069 48.2221989)
node,295563589,POINT (16.353746 48.222162)
node,296854420,POINT (16.3522037 48.2164512)
node,296920676,POINT (16.3062795 48.2247656)
node,297160436,POINT (16.3207522 48.1898765)
node,298163080,POINT (16.3159384 48.1512738)
node,298347612,POINT (16.3660632 48.1984179)
node,298620530,POINT (16.4651282 48.225736)
node,298713610,POINT (16.3696039 48.2105229)
node,298851841,POINT (16.3432741 48.198469)
node,301428914,POINT (16.3149505 48.1510849)
node,301430742,POINT (16.3101556 48.1484909)
node,301431463,POINT (16.312508 48.1493886)
node,302734708,POINT (16.3301743 48.2017075)
node,303507170,POINT (16.3431311 48.1937233)
node,304983570,POINT (16.3515446 48.2541289)
node,306005700,POINT (16.3438958 48.2292511)
node,306016537,POINT (16.350202 48.2237527)
node,306083017,POINT (16.3515311 48.2231682)
node,306095249,POINT (16.3686553 48.1989041)
node,307433233,POINT (16.3793496 48.1912462)
node,307643605,POINT (16.3702998 48.2257315)
node,307643606,POINT (16.3687067 48.226414)
node,308111492,POINT (16.3539604 48.2105322)
node,309293361,POINT (16.3093392 48.2114722)
