element_type,osmid,geometry
node,15079903,POINT (16.2876675 48.1969666)
node,15080180,POINT (16.2989066 48.1977628)
node,43749523,POINT (16.2799536 48.1911018)
node,61274250,POINT (16.3735891 48.2211771)
node,61274400,POINT (16.3856625 48.2167993)
node,68335208,POINT (16.3725817 48.2076051)
node,68340350,POINT (16.4230905 48.3002641)
node,76469904,POINT (16.3928589 48.2087419)
node,76470033,POINT (16.3916348 48.2096512)
node,76560861,POINT (16.3596886 48.1965996)
node,76561506,POINT (16.3605577 48.196812)
node,82758465,POINT (16.3971332 48.2006095)
node,83450050,POINT (16.4099614 48.2779968)
node,90385555,POINT (16.3120949 48.1634968)
node,106052302,POINT (16.3163311 48.219138)
node,115207810,POINT (16.3980409 48.1932726)
node,115210258,POINT (16.4007012 48.1911299)
node,117364952,POINT (16.4026341 48.1939921)
node,126462305,POINT (16.3133851 48.2227371)
node,126489779,POINT (16.3213576 48.22079)
node,146311391,POINT (16.3607374 48.2262256)
node,245496365,POINT (16.3384282 48.2114485)
node,246175056,POINT (16.417254 48.2932156)
node,249342824,POINT (16.3918468 48.2136723)
node,249493650,POINT (16.349506 48.2258916)
node,249570887,POINT (16.3359517 48.2098402)
node,249711656,POINT (16.3678476 48.1981188)
node,249879460,POINT (16.3697071 48.2354195)
node,250077549,POINT (16.331352 48.2265935)
node,251710611,POINT (16.3363216 48.209011)
node,252549224,POINT (16.3303649 48.199996)
node,254355950,POINT (16.2887075 48.1944321)
node,254666245,POINT (16.3400413 48.1861887)
node,254673513,POINT (16.34058 48.1847231)
node,264999942,POINT (16.2840639 48.1896262)
node,265000237,POINT (16.2830657 48.1874287)
node,266659804,POINT (16.3981303 48.206722)
node,268500310,POINT (16.3872888 48.207468)
node,269895060,POINT (16.30487 48.1675829)
node,269895061,POINT (16.3041378 48.16698)
node,270303858,POINT (16.3279641 48.1983426)
node,272400816,POINT (16.3302856 48.1819462)
node,272922898,POINT (16.3317155 48.1810764)
node,278123721,POINT (16.3814258 48.2187932)
node,278127505,POINT (16.3635428 48.1891383)
node,278127690,POINT (16.3594557 48.1872977)
node,278129732,POINT (16.3626486 48.1867998)
node,278556294,POINT (16.3726549 48.1893075)
node,278556295,POINT (16.3728247 48.1889824)
node,278821752,POINT (16.3471242 48.2255769)
node,279809381,POINT (16.3361223 48.2183613)
node,280812405,POINT (16.3355235 48.2230384)
node,286187650,POINT (16.3717459 48.1971851)
node,286434892,POINT (16.3557006 48.2406909)
node,286434894,POINT (16.3551996 48.2397024)
node,287509448,POINT (16.2550772 48.2023815)
node,289646026,POINT (16.3225835 48.1831346)
node,289942883,POINT (16.3017827 48.1509296)
node,290635935,POINT (16.2826969 48.174639)
node,290926017,POINT (16.360121 48.1922119)
node,291994788,POINT (16.3382012 48.202799)
node,293285826,POINT (16.3804142 48.2194868)
node,295064335,POINT (16.3055201 48.2110688)
node,296007737,POINT (16.3654434 48.1964392)
node,296915189,POINT (16.3577307 48.1985352)
node,298628516,POINT (16.458322 48.2221232)
node,298851831,POINT (16.3526642 48.208404)
node,298851837,POINT (16.3429361 48.2059389)
node,298851849,POINT (16.3223197 48.2109391)
node,301429347,POINT (16.3124757 48.1489804)
node,302737197,POINT (16.3669181 48.1945482)
node,303507679,POINT (16.3419983 48.1915709)
node,307423419,POINT (16.350478 48.1944368)
node,308877380,POINT (16.3698182 48.1693263)
node,310580394,POINT (16.3725964 48.2125282)
node,311045415,POINT (16.3101452 48.1991256)
node,311821008,POINT (16.3585286 48.1743789)
node,311821011,POINT (16.3571358 48.1752667)
node,313201958,POINT (16.3657845 48.1959364)
node,313474649,POINT (16.4527264 48.2611749)
node,321443343,POINT (16.361806 48.2025281)
node,321807810,POINT (16.3433071 48.2039483)
node,321808125,POINT (16.3892751 48.1736721)
node,322926993,POINT (16.4164227 48.2916443)
node,324469105,POINT (16.3471534 48.2097797)
node,324469109,POINT (16.3282701 48.2034874)
node,324469114,POINT (16.3292899 48.2120292)
node,324469118,POINT (16.3647877 48.1988224)
node,324469121,POINT (16.3629913 48.1987562)
node,324469132,POINT (16.3449049 48.1955948)
node,324469152,POINT (16.3180385 48.2118072)
node,324479708,POINT (16.345173 48.203531)
node,324479710,POINT (16.3071186 48.2166845)
node,324479712,POINT (16.3523619 48.2092501)
node,324479713,POINT (16.3523352 48.2094443)
node,324479714,POINT (16.3120837 48.212733)
