element_type,osmid,geometry
node,76463153,POINT (16.4016647 48.1958196)
node,221835232,POINT (16.3342203 48.2170056)
node,264063090,POINT (16.3729645 48.2072026)
node,293169432,POINT (16.3121089 48.1866892)
node,319733707,POINT (16.3759831 48.2111049)
node,330451231,POINT (16.3749043 48.2121671)
node,348086334,POINT (16.3492138 48.201372)
node,375942781,POINT (16.3778787 48.2099951)
node,375943004,POINT (16.3777339 48.2100327)
node,417751932,POINT (16.3470737 48.2041987)
node,418435976,POINT (16.3750079 48.1922246)
node,442997827,POINT (16.351337 48.2023538)
node,637825906,POINT (16.351423 48.1954208)
node,659306320,POINT (16.3765887 48.2068015)
node,862802594,POINT (16.3873467 48.1917731)
node,924763134,POINT (16.366641 48.1795905)
node,956430091,POINT (16.3784701 48.2076245)
node,1321011946,POINT (16.3562791 48.2323034)
node,1467021110,POINT (16.3374485 48.1944943)
node,1467021155,POINT (16.338162 48.1946504)
node,1467255293,POINT (16.3619042 48.2239969)
node,1527938142,POINT (16.3544936 48.2095113)
node,1638266793,POINT (16.3709133 48.2031531)
node,1649013742,POINT (16.374897 48.2013014)
node,1687584252,POINT (16.3629497 48.2195466)
node,1687584259,POINT (16.3614534 48.2198811)
node,1751349684,POINT (16.3613893 48.2115235)
node,1788568131,POINT (16.3991944 48.2007328)
node,1802230874,POINT (16.3959522 48.2592979)
node,1927198615,POINT (16.4192438 48.1852739)
node,2079102836,POINT (16.3495057 48.1973071)
node,2155913553,POINT (16.3720354 48.1857771)
node,2519884563,POINT (16.3340288 48.2066641)
node,2563578538,POINT (16.325439 48.2170456)
node,2652668796,POINT (16.3546471 48.221903)
node,2869816578,POINT (16.3624947 48.1857029)
node,3279432361,POINT (16.3531171 48.208446)
node,3540727292,POINT (16.3154107 48.1849457)
node,3613482291,POINT (16.3801671 48.2142198)
node,3662712491,POINT (16.4321511 48.2269424)
node,3740930132,POINT (16.3697658 48.2079195)
node,4098511102,POINT (16.3555241 48.2030095)
node,4231737389,POINT (16.3664403 48.1909871)
node,4428541792,POINT (16.3137857 48.1891736)
node,4603998626,POINT (16.3451595 48.1862207)
node,4849360525,POINT (16.3918092 48.2037849)
node,4899389921,POINT (16.4004069 48.1986164)
node,4924152966,POINT (16.3559504 48.1958602)
node,4978341366,POINT (16.3187277 48.1840082)
node,5149272267,POINT (16.3261565 48.2099229)
node,5368761270,POINT (16.3471149 48.21493)
node,5563879674,POINT (16.3869891 48.2027524)
node,5680427879,POINT (16.3523167 48.2261072)
node,5981865397,POINT (16.3520008 48.1945104)
node,6044973222,POINT (16.3249876 48.1661776)
node,6131700885,POINT (16.3767524 48.2115123)
