element_type,osmid,geometry
node,76471793,POINT (16.3490715 48.2263343)
node,425486957,POINT (16.3698786 48.2009238)
node,560176375,POINT (16.3582528 48.2147378)
node,574278370,POINT (16.3494753 48.2065905)
node,631853821,POINT (16.3289294 48.1834269)
node,956430165,POINT (16.3755704 48.2063379)
node,957695878,POINT (16.3722361 48.2048709)
node,957695880,POINT (16.3731698 48.2045465)
node,1466988216,POINT (16.3605274 48.2219254)
node,1490046677,POINT (16.3578114 48.2017736)
node,1547539696,POINT (16.3538417 48.220013)
node,1547539700,POINT (16.3548261 48.2202919)
node,1547539731,POINT (16.3543567 48.2201811)
node,1701300686,POINT (16.3628772 48.2223299)
node,1752794744,POINT (16.3430165 48.1998942)
node,1900583640,POINT (16.3554137 48.22045)
node,1922367844,POINT (16.3848328 48.2082764)
node,2431089983,POINT (16.3673771 48.2192066)
node,2431089984,POINT (16.3666189 48.2191251)
node,2687645635,POINT (16.3359783 48.274765)
node,2931512383,POINT (16.3829469 48.2141267)
node,2969329546,POINT (16.365903 48.2079424)
node,3405311508,POINT (16.3531333 48.2167282)
node,3664315650,POINT (16.3774409 48.2391664)
node,3664526435,POINT (16.3698784 48.1989256)
node,3759092491,POINT (16.3321522 48.1877259)
node,3762548985,POINT (16.3333907 48.1874652)
node,3792841034,POINT (16.335329 48.1844019)
node,3891131757,POINT (16.3557127 48.2217238)
node,4268482937,POINT (16.353684 48.21619)
node,4409272768,POINT (16.3669939 48.1991206)
node,4679012885,POINT (16.3558565 48.2228162)
node,4885151421,POINT (16.335079 48.2362184)
node,4885158021,POINT (16.3375091 48.2365614)
node,4885161621,POINT (16.3370638 48.2365471)
node,5302948671,POINT (16.5094186 48.223287)
node,5394930582,POINT (16.3635307 48.219538)
node,5446380146,POINT (16.3430158 48.1997863)
node,5938619457,POINT (16.3812516 48.1964098)
node,5997157941,POINT (16.353233 48.2180278)
node,5997157942,POINT (16.3526375 48.2180619)
node,6065360853,POINT (16.3528625 48.2168091)
node,6065360854,POINT (16.3565168 48.2192958)
node,6239186443,POINT (16.355245 48.2212424)
node,6883154732,POINT (16.3978582 48.1813708)
node,6883204477,POINT (16.3970297 48.1806845)
node,6955759200,POINT (16.3972521 48.1811703)
node,6955759201,POINT (16.3968329 48.1809568)
node,6955759202,POINT (16.3970957 48.1810097)
node,6955759232,POINT (16.3969781 48.1817857)
node,6955759241,POINT (16.3970067 48.18206)
node,6955805974,POINT (16.3968261 48.18209)
node,6955805975,POINT (16.3970346 48.1821877)
node,6958086281,POINT (16.3965297 48.1812228)
node,6964890014,POINT (16.3966827 48.18129)
node,6964890015,POINT (16.3976808 48.1817988)
node,6964890032,POINT (16.3974261 48.1816701)
node,8049938114,POINT (16.3587222 48.231051)
node,9156460407,POINT (16.3531527 48.2175168)
node,9156460408,POINT (16.3519386 48.2176192)
